#RA DEC 2MASSID Jmag eJmag Hmag eHmag Kmag eKmag
197.151498;-15.563657;13083635-1533491 ;12.736; 0.024;12.406; 0.022;12.366; 0.029
197.203299;-15.571364;13084879-1534169 ;13.720; 0.027;13.428; 0.036;13.361; 0.040
197.217356;-15.597874;13085216-1535523 ;14.526; 0.033;14.165; 0.032;14.106; 0.062
197.197538;-15.593096;13084740-1535351 ;15.517; 0.057;14.915; 0.065;14.716; 0.113
197.197303;-15.574146;13084735-1534269 ;17.134; 0.214;16.306; 0.180;15.543; 0.214
197.236120;-15.594939;13085666-1535417 ;15.417; 0.098;14.682; 0.095;14.023; 0.088
197.230442;-15.585450;13085530-1535076 ;12.599; 0.026;12.303; 0.026;12.231; 0.024
197.257454;-15.616126;13090178-1536580 ;13.758; 0.026;13.412; 0.030;13.335; 0.038
197.280089;-15.590432;13090722-1535255 ;13.772; 0.030;13.227; 0.024;13.158; 0.038
197.280083;-15.607818;13090721-1536281 ;11.181; 0.026;10.819; 0.023;10.751; 0.023
197.310277;-15.577679;13091446-1534396 ;13.795; 0.030;13.443; 0.027;13.365; 0.047
197.266199;-15.613000;13090388-1536468 ;15.676; 0.047;15.287; 0.065;15.481; 0.198
197.306490;-15.580020;13091355-1534480 ;15.001; 0.039;14.484; 0.055;14.546; 0.095
197.310217;-15.587090;13091445-1535135 ;13.991; 0.030;13.638; 0.031;13.571; 0.045
197.263372;-15.578159;13090320-1534413 ;16.243; 0.105;15.718; 0.113;15.000; 0.163
197.187283;-15.512005;13084494-1530432 ;13.982; 0.032;13.392; 0.029;13.025; 0.038
197.177736;-15.518442;13084265-1531063 ;15.606; 0.063;15.104; 0.056;15.166; 0.151
197.175848;-15.518487;13084220-1531065 ;15.142; 0.057;14.498; 0.065;14.332; 0.082
197.192374;-15.543959;13084616-1532382 ;14.307; 0.032;13.819; 0.036;13.669; 0.035
197.212335;-15.511310;13085096-1530407 ;16.144; 0.089;15.455; 0.085;15.456; 0.190
197.195196;-15.527518;13084684-1531390 ;16.077; 0.086;15.445; 0.083;15.262; 0.163
197.209074;-15.544851;13085017-1532414 ;16.407; 0.105;15.773; 0.117;15.301; 0.183
197.198770;-15.553949;13084770-1533142 ;14.943; 0.050;14.470; 0.052;14.277; 0.073
197.203483;-15.520475;13084883-1531137 ;17.052; 0.199;16.193; 0.160;15.237; 0.170
197.230701;-15.528042;13085536-1531409 ;13.723; 0.026;13.353; 0.026;13.318; 0.031
197.233455;-15.550367;13085602-1533013 ;13.992; 0.036;13.482; 0.035;13.391; 0.044
197.227839;-15.516233;13085468-1530584 ;13.380; 0.026;12.754; 0.027;12.660; 0.024
197.243253;-15.531948;13085838-1531550 ;16.787; 0.136;16.106; 0.155;15.256; 0.164
197.225729;-15.537469;13085417-1532148 ;14.129; 0.026;13.601; 0.027;13.510; 0.037
197.295564;-15.501536;13091093-1530055 ;13.094; 0.029;12.736; 0.026;12.782; 0.035
197.276594;-15.532583;13090638-1531572 ;14.455; 0.029;13.963; 0.030;13.915; 0.051
197.273238;-15.502405;13090557-1530086 ; 9.086; 0.027; 8.382; 0.055; 8.186; 0.027
197.250735;-15.501843;13090017-1530066 ;15.288; 0.048;14.718; 0.055;14.761; 0.100
197.313173;-15.520044;13091516-1531121 ;13.998; 0.028;13.415; 0.032;13.328; 0.034
197.336023;-15.540698;13092064-1532265 ;14.831; 0.035;14.167; 0.040;13.911; 0.052
197.316927;-15.529825;13091606-1531473 ;16.305; 0.091;15.676; 0.124;15.521; 0.206
197.177649;-15.458106;13084263-1527291 ;12.285; 0.026;12.017; 0.023;11.972; 0.027
197.177193;-15.447295;13084252-1526502 ;15.033; 0.038;14.658; 0.048;14.583; 0.093
197.170289;-15.452422;13084086-1527087 ;15.548; 0.055;15.034; 0.061;14.805; 0.124
197.221696;-15.488108;13085320-1529171 ;11.260; 0.026;10.582; 0.024;10.374; 0.023
197.243797;-15.455217;13085851-1527187 ;15.640; 0.058;15.102; 0.052;14.907; 0.118
197.222541;-15.457933;13085340-1527285 ;13.670; 0.027;13.178; 0.023;12.881; 0.026
197.217513;-15.454241;13085220-1527152 ;14.243; 0.027;13.626; 0.030;13.406; 0.031
197.245417;-15.437751;13085890-1526159 ;15.150; 0.041;14.630; 0.052;14.361; 0.073
197.217386;-15.471246;13085217-1528164 ;15.838; 0.064;15.100; 0.062;14.831; 0.109
197.280360;-15.496897;13090728-1529488 ;11.032; 0.024;10.516; 0.026;10.354; 0.019
197.304776;-15.477295;13091314-1528382 ;15.450; 0.049;14.749; 0.050;14.376; 0.074
197.259509;-15.446942;13090228-1526489 ;10.226; 0.026; 9.719; 0.026; 9.598; 0.019
197.277766;-15.443541;13090666-1526367 ;15.701; 0.052;15.318; 0.084;15.360; 0.179
197.303289;-15.468204;13091278-1528055 ;11.270; 0.024;10.840; 0.027;10.701; 0.019
197.293361;-15.448931;13091040-1526561 ;11.906; 0.026;11.535; 0.023;11.462; 0.019
197.276309;-15.469511;13090631-1528102 ;15.800; 0.067;15.265; 0.069;15.006; 0.126
197.327174;-15.470380;13091852-1528133 ;12.171; 0.024;11.652; 0.023;11.616; 0.023
197.337786;-15.495301;13092106-1529430 ;15.770; 0.061;14.979; 0.065;15.128; 0.157
197.229121;-15.428370;13085498-1525421 ;14.378; 0.034;13.719; 0.032;13.510; 0.038
197.219715;-15.428627;13085273-1525430 ;16.493; 0.128;15.766; 0.115;15.226; 0.154
197.277196;-15.428805;13090652-1525436 ;14.483; 0.026;13.868; 0.030;13.685; 0.043
