# Super-LOTIS observations are in BVRI for each epoch.  
#  A '99' for the SL column means there were observations, but MWV doesn't know how many.
#Name                    semester    RA            Dec      z       approxTmax n_J n_H n_K Host_J  Host_H  Host_K Super-LOTIS comments
SN2011fe                 2011B  14:03:05.80   +54:16:25.3   0.008    20110910   2   2   2  ...       ...       ...       ...  "ATel 3581"
SN2011hr                 2011B  08:54:46.056  +39:32:16.02  0.013    20111118   4   4   0  2014A     2013B     NA        ...  "91T-like,CBET 2901"
SN2011gy                 2011B  03:29:35.319  +40:52:02.93  0.017    20111031   4   4   0  2012B     2012A+B   NA        ...  "CBET 2871; Updated Position"
SN2011hk                 2011B  02:18:45.801  -06:38:30.45  0.018    20111030   3   3   0  ...       ...       NA        ...  "91bg-like, CBET 2892; Updated Position"
SN2011fs                 2011B  22:17:19.509  +35:34:49.94  0.021    20110929   4   4   1  ...       ...       ...       ...  "CBET 2825; Updated Position"
SN2011gf                 2011B  21:12:24.302  -07:48:52.04  0.027    20110923   2   3   0  ...       ...       NA        ...  "CBET 2838; Updated Position"
SN2011hb                 2011B  23:27:55.508  +08:46:45.45  0.029    20111107   3   3   0  2013B     2013B     NA        ...  "CBET 2880, 2011hb, PTF11pbp; Updated Position"
SN2011ho                 2011B  11:44:13.060  +33:30:59.89  0.032    20111031   0   3   0  NA        2012A     NA        ...  "CBET 2898; Updated Position"
SN2011io                 2011B  23:02:47.617  +08:48:08.12  0.04     20111129   1   1   0  ...       ...       NA        ...  "CBET 2931; Updated Position"
SN2011iu                 2011B  23:51:02.342  +46:43:21.55  0.046    20111129   2   2   0  2012B     2012B     NA        ...  "CBET 2939; Updated position"
PTF11qmo                 2011B  10:06:49.748  -07:41:12.39  0.055    20111129   2   2   0  ...       ...       NA        ...  "ATEL 3798; Updated position"
PTF11qri                 2011B  12:47:06.276  -06:19:49.46  0.055    20111202   2   2   0  ...       ...       NA        ...  "ATEL 3798; Updated position, but really low SNR"
PTF11qzq                 2011B  07:19:27.311  +54:13:48.84  0.06     20111210   2   2   0  2013B     2012B     NA        ...  "ATEL 3798; Updated position"
PTF11moy                 2011B  17:06:18.06   +38:32:19.9   0.06     ...        1   1   0  ...       ...       NA        ...  "ATEl 3697; CSS111023:170618+383220"
PTF11owc                 2011B  09:16:10.05   +49:37:30.7   0.07     20111102   3   3   0  2012A     2012A+B   NA        ...  "ATEL 3739; Can't find SN"
PTF11mty                 2011B  21:34:05.20   +10:25:24.6   0.077    20111001   2   2   0  2012B     2012B     NA        ...  "ATEl 3668"
PTF11qpc                 2011B  12:20:05.457  +09:24:12.38  0.091    20111207   0   2   0  NA        2012A     NA        ...  "ATEL 3798; Updated position"
SN2011ha                 2011B  03:57:40.87   +10:09:55.2   0.094    20111006   1   2   0  ...       ...       NA        ...  "CBET 2873"
SN2012bh                 2012A  12:13:37.325  +46:29:00.34  0.02524  20120330   1   1   0  ...       ...       NA        ...  "CBET 3066; Updated position"
SN2011jh                 2012A  12:47:14.42   -10:03:47.2   0.00779  20120103   1   1   0  ...       ...       NA        ...  "CBET 2953"
SN2011iy                 2012A  13:08:58.38   -15:31:04.0   0.00427  20111201   1   1   0  ...       ...       NA        ...  "CBET 2943"
SN2012bo                 2012A  12:50:45.215  -14:16:07.69  0.02543  20120404   1   1   0  ...       ...       NA        ...  "CBET 3079; Updated position"
